order_id,customer_email,order_date,quantity,unit_price,revenue,missing_email_reason
SO-1001,salma.saleh0@example.com,20/04/2026,4,49.98,199.92,
SO-1002,hana.nabil1@example.com,2026-05-24,6,252.96,1517.76,
SO-1003,hana.saleh2@example.com,2026-04-30,8,216.67,1733.36,
SO-1004,youssef.adel3@example.com,2026-02-25,8,363.75,2910.00,
SO-1005,nour.nabil4@example.com,2026/05/25,2,102.06,204.12,
SO-1006,mona.ezzat5@example.com,2026-03-21,18,401.39,7225.02,
SO-1007,salma.fahmy6@example.com,2026-03-17,9,123.06,1107.54,
SO-1008,salma.hassan7@example.com,2026-02-26,7,452.19,3165.33,
SO-1009,ahmed.ezzat8@example.com,2026-06-27,17,181.08,3078.36,
SO-1010,,2026-03-11,3,332.38,997.14,
SO-1011,mona.adel10@example.com,2026-06-25,14,299.05,4186.70,
SO-1012,youssef.saleh11@example.com,2026-06-13,15,368.32,5524.80,
SO-1013,,2026-01-17,19,138.18,2625.42,
SO-1014,ahmed.fahmy13@example.com,2026-05-03,10,484.39,4843.90,
SO-1015,omar.nabil14@example.com,2026-01-20,6,330.65,1983.90,
SO-1016,hana.hassan15@example.com,2026-03-12,-20,202.89,4057.80,
SO-1017,,2026-01-27,5,413.45,2067.25,
SO-1018,omar.nabil17@example.com,2026-01-22,14,244.96,3429.44,
SO-1019,salma.adel18@example.com,2026-03-13,17,60.45,1027.65,
SO-1020,omar.saleh19@example.com,2026-02-15,5,304.42,1522.10,
SO-1021,salma.saleh20@example.com,2026-05-04,1,290.21,290.21,
SO-1022,omar.hassan21@example.com,2026-06-27,2,324.26,648.52,
SO-1023,ahmed.ezzat22@example.com,2026-01-20,20,-216.04,4320.80,
SO-1024,mona.hassan23@example.com,05-Jan-2026,12,471.21,5654.52,
SO-1025,omar.fahmy24@example.com,2026-03-26,18,60.66,1091.88,
SO-1026,youssef.hassan25@example.com,2026-02-24,11,491.76,5409.36,
SO-1027,mona.adel26@example.com,2026-04-16,9,433.15,3898.35,
SO-1028,ahmed.hassan27@example.com,2026-05-15,15,497.78,7466.70,
SO-1029,omar.ezzat28@example.com,2026-03-20,18,39.56,712.08,
SO-1030,salma.nabil29@example.com,2026-02-19,20,472.98,9459.60,
SO-1031,mona.saleh30@example.com,2026-03-06,7,329.64,2307.48,
SO-1032,ahmed.fahmy31@example.com,2026-03-16,17,68.53,1165.01,
SO-1033,ahmed.nabil32@example.com,2026-06-17,20,338.10,6762.00,
SO-1034,,2026-03-06,12,242.90,2914.80,
SO-1035,salma.nabil34@example.com,"Jan 29, 2026",2,208.57,417.14,
SO-1036,salma.nabil35@example.com,2026-03-11,17,48.95,832.15,
SO-1037,youssef.saleh36@example.com,2026-03-31,6,464.31,-2785.86,
SO-1038,nour.nabil37@example.com,2026-04-26,12,486.52,5838.24,
SO-1039,omar.saleh38@example.com,2026-06-18,6,223.65,1341.90,
SO-1040,omar.saleh39@example.com,2026-03-03,17,377.09,6410.53,
SO-1009,ahmed.ezzat8@example.com,2026-06-27,17,181.08,3078.36,
SO-1018,omar.nabil17@example.com,2026-01-22,14,244.96,3429.44,
SO-1027,mona.adel26@example.com,2026-04-16,9,433.15,3898.35,
SO-1029,omar.ezzat28@example.com,2026-03-20,18,39.56,712.08,
SO-1038,nour.nabil37@example.com,2026-04-26,12,486.52,5838.24,
